iter	Logloss
0	0.519301224
1	0.4025375585
2	0.3180380047
3	0.2542049341
4	0.2112862942
5	0.1809392904
6	0.1577453117
7	0.1418140653
8	0.1320549491
9	0.1233798586
10	0.1141369532
11	0.1079022569
12	0.102267559
13	0.09785655434
14	0.09223853664
15	0.08921496491
16	0.0866056761
17	0.08400170661
18	0.08191309248
19	0.07984869933
20	0.07737313295
21	0.07540956944
22	0.07426354021
23	0.07299217572
24	0.07176095363
25	0.07038209568
26	0.06896952338
27	0.06784225343
28	0.06600512486
29	0.06452300347
30	0.06352644639
31	0.0625802344
32	0.0612865872
33	0.06025206103
34	0.05958965889
35	0.05881317324
36	0.05793929953
37	0.05680200762
38	0.05578790796
39	0.05435391435
40	0.05360103419
41	0.05281233262
42	0.05149980371
43	0.05096913104
44	0.05023844943
45	0.04945008723
46	0.04910336476
47	0.0483980961
48	0.04758342351
49	0.04695105906
50	0.04612765726
51	0.04533483354
52	0.04488389059
53	0.04406828807
54	0.04365440925
55	0.04310673381
56	0.04213671578
57	0.04166210448
58	0.04108898319
59	0.04046974794
60	0.0401160627
61	0.03958635385
62	0.03906135962
63	0.0384376574
64	0.03821166037
65	0.0376203826
66	0.03724882674
67	0.03704900155
68	0.03660951297
69	0.03586036829
70	0.0353887812
71	0.03498919711
72	0.03475258559
73	0.03432998572
74	0.03405838884
75	0.03368221396
76	0.03342203188
77	0.03264636145
78	0.03229436766
79	0.03170231934
80	0.0314794613
81	0.03124407543
82	0.03055776364
83	0.03007806541
84	0.02966534872
85	0.02934045105
86	0.02890144343
87	0.02876469544
88	0.02858430249
89	0.02820540509
90	0.02786274091
91	0.02750348452
92	0.02722127606
93	0.02671027415
94	0.02655339592
95	0.02625782739
96	0.02595346195
97	0.02574488532
98	0.02549796758
99	0.02529198124
100	0.02492000629
101	0.02477281872
102	0.02451469367
103	0.0242934623
104	0.02413129495
105	0.02400783205
106	0.02377522856
107	0.0235829868
108	0.02344284332
109	0.02308637891
110	0.02270855259
111	0.02243759409
112	0.02222289741
113	0.02198499838
114	0.02176238353
115	0.02159408422
116	0.02124994875
117	0.02117568781
118	0.02102509597
119	0.02075886766
120	0.02065335383
121	0.02044634205
122	0.02038705645
123	0.02026474913
124	0.02010108281
125	0.01989419171
126	0.01970126889
127	0.01945460141
128	0.01927016983
129	0.01918079251
130	0.0189880902
131	0.01876067785
132	0.01857079932
133	0.01833921131
134	0.01811827088
135	0.01801438418
136	0.01798198918
137	0.01781061059
138	0.01761669125
139	0.01749723563
140	0.01737682643
141	0.01718667907
142	0.01710561775
143	0.01701586146
144	0.01682962023
145	0.01659778197
